wavenumber,0,1,2,3,4,5,6,7,8,9,10,11,12
850.4673,5.568620E-05,3.031290E-04,-2.168360E-04,-3.652530E-05,-9.528000E-05,2.445090E-04,8.815600E-05,-1.221590E-04,-8.587290E-05,5.028920E-04,-3.573020E-05,-1.317370E-04,-1.902950E-04
852.3958,2.835790E-04,4.370360E-04,4.893380E-05,1.554060E-04,-1.235080E-04,2.342670E-04,2.292990E-04,7.572010E-05,-6.518510E-05,4.854620E-04,-3.007440E-04,5.424650E-05,-2.332900E-04
854.3243,3.414810E-04,2.904400E-04,2.995700E-04,1.864180E-04,4.430250E-06,-8.071180E-06,-4.506650E-05,1.919680E-04,-1.284580E-04,3.063940E-04,-1.564470E-04,-6.636970E-05,-2.090750E-04
856.2527,4.108750E-04,2.507510E-04,3.460140E-04,1.230320E-05,-6.333820E-05,3.112580E-05,-2.267580E-04,3.003220E-04,-7.549180E-05,1.716400E-04,-1.875120E-04,5.909330E-05,-2.926690E-04
858.1813,8.670130E-04,8.088850E-04,7.158050E-04,2.883440E-04,1.382430E-04,5.465960E-04,3.476290E-04,9.248800E-04,5.521280E-04,6.664000E-04,1.704540E-05,6.119980E-04,2.521960E-04
860.1097,1.240000E-03,1.250000E-03,1.110000E-03,7.321400E-04,5.513610E-04,9.237720E-04,9.466530E-04,1.240000E-03,1.060000E-03,1.190000E-03,4.077210E-04,1.070000E-03,7.978430E-04
862.0383,1.640000E-03,1.570000E-03,1.580000E-03,1.100000E-03,9.118400E-04,1.040000E-03,1.200000E-03,1.350000E-03,1.150000E-03,1.510000E-03,5.401880E-04,1.260000E-03,8.860090E-04
863.9667,2.150000E-03,1.890000E-03,1.860000E-03,1.310000E-03,1.280000E-03,1.450000E-03,1.410000E-03,1.540000E-03,1.340000E-03,1.740000E-03,6.233640E-04,1.470000E-03,1.110000E-03
865.8953,2.410000E-03,2.220000E-03,1.730000E-03,1.440000E-03,1.570000E-03,1.810000E-03,1.580000E-03,1.680000E-03,1.330000E-03,1.640000E-03,8.257110E-04,1.560000E-03,1.340000E-03
867.8237,2.200000E-03,2.370000E-03,1.750000E-03,1.580000E-03,1.570000E-03,1.710000E-03,1.800000E-03,1.600000E-03,1.170000E-03,1.540000E-03,1.310000E-03,1.510000E-03,1.180000E-03
869.7523,1.970000E-03,2.180000E-03,1.630000E-03,1.650000E-03,1.210000E-03,1.720000E-03,1.810000E-03,1.480000E-03,1.170000E-03,1.590000E-03,1.640000E-03,1.370000E-03,9.709250E-04
871.6807,1.750000E-03,1.830000E-03,1.350000E-03,1.600000E-03,1.040000E-03,1.580000E-03,1.140000E-03,1.360000E-03,1.180000E-03,1.390000E-03,1.450000E-03,1.020000E-03,8.285090E-04
873.6093,1.180000E-03,1.260000E-03,8.787100E-04,1.130000E-03,8.654580E-04,9.710950E-04,5.487270E-04,7.503530E-04,7.371430E-04,8.830380E-04,6.791470E-04,6.277680E-04,4.705140E-04
875.5377,1.180000E-03,9.316340E-04,5.361090E-04,9.991540E-04,6.547240E-04,7.262280E-04,6.061740E-04,4.464100E-04,4.727490E-04,8.282590E-04,5.335120E-04,6.824610E-04,4.236750E-04
877.4662,1.030000E-03,6.135540E-04,2.413850E-04,9.165180E-04,3.824880E-04,5.756260E-04,5.701850E-04,5.735800E-04,4.045580E-04,6.512390E-04,6.118980E-04,4.800350E-04,1.812700E-04
879.3947,2.714070E-04,1.147820E-04,-1.665080E-04,2.801650E-04,-1.640730E-04,1.188120E-04,8.138450E-05,1.623120E-04,6.775820E-05,7.483760E-05,1.200050E-04,-3.641120E-05,-3.903240E-04
881.3232,-9.826840E-05,-7.272900E-06,-2.452570E-04,-2.189650E-04,-2.503040E-04,-1.645920E-04,-1.834000E-04,-1.793750E-04,-9.819100E-05,-2.167880E-04,-1.308190E-04,-1.117070E-04,-6.662490E-04
883.2517,-3.230700E-06,-8.762800E-06,-3.482690E-04,-6.611430E-05,-5.754170E-05,-2.070720E-04,-1.854540E-04,-1.297920E-04,-2.383620E-05,-2.261990E-04,-2.619230E-05,-1.151340E-04,-5.314340E-04
885.1802,-1.209370E-04,-1.400500E-04,-3.819090E-04,-3.790280E-05,-1.618780E-04,-9.249620E-05,-2.340810E-04,-1.262810E-04,7.957370E-05,-2.640710E-04,-1.203260E-04,1.653010E-05,-3.348680E-04
887.1087,-7.244940E-05,-1.418370E-04,-2.310050E-04,-9.094130E-06,-1.387210E-04,1.070530E-04,-1.667500E-04,1.446330E-05,7.024750E-05,-2.197530E-04,-7.237950E-05,2.654410E-04,-3.763830E-04
889.0372,3.914980E-05,1.623460E-05,-3.281530E-04,-4.868210E-06,1.110240E-05,-3.716120E-05,-1.905200E-04,1.021500E-04,7.398520E-05,-5.948410E-05,-1.963310E-05,3.468890E-04,-4.201280E-04
890.9657,7.868320E-06,1.687000E-04,-4.078160E-04,-2.747990E-05,-3.211950E-05,-1.462390E-04,-1.103950E-04,1.612400E-05,2.835820E-06,1.007600E-04,-1.005980E-04,2.296370E-04,-4.856620E-04
892.8942,1.391660E-04,1.391240E-04,-2.990250E-04,7.738590E-05,1.282910E-04,-4.254320E-05,1.311880E-04,1.473710E-04,2.274460E-04,1.868820E-04,-8.153330E-05,1.573360E-04,-3.968510E-04
894.8227,2.118800E-04,1.110060E-04,-1.399390E-04,2.151700E-04,3.474690E-04,7.237380E-05,2.297830E-04,1.374170E-04,2.764750E-04,3.041100E-04,1.285710E-04,1.203640E-04,-1.218310E-04
896.7512,1.705360E-04,3.049850E-04,4.536330E-05,4.315160E-04,4.119810E-04,2.215800E-04,2.122430E-04,-4.772430E-05,2.324470E-04,1.703000E-04,2.755260E-04,5.960230E-05,4.286890E-05
898.6797,1.098220E-04,4.048560E-04,5.478290E-06,3.616620E-04,3.504280E-04,2.611160E-04,1.710290E-05,-1.278610E-04,2.288010E-04,1.408900E-04,1.710200E-04,1.001310E-04,-1.482710E-04
900.6082,8.414050E-05,2.780160E-04,-1.076100E-04,3.101880E-04,2.627400E-04,7.610500E-05,1.486720E-04,-8.986880E-05,2.306340E-04,2.709850E-04,-9.339530E-05,-1.107110E-05,-9.397160E-05
902.5367,4.051520E-05,2.281910E-04,-2.265960E-05,5.116730E-04,3.724950E-04,1.307180E-04,4.328630E-04,8.923530E-05,3.285430E-04,2.139510E-04,2.904920E-05,9.870720E-05,1.318560E-04
904.4651,-2.589140E-05,2.346840E-04,1.624390E-04,6.786430E-04,3.712190E-04,1.819720E-04,5.058970E-04,1.746400E-04,3.259680E-04,2.043570E-04,1.351150E-04,1.329480E-04,1.329000E-04
906.3937,1.426350E-05,8.691060E-05,2.673620E-04,6.731080E-04,4.544500E-04,3.087770E-04,4.633450E-04,2.380130E-04,3.029450E-04,1.764780E-04,3.140480E-04,-5.366620E-05,1.682620E-04
908.3221,-1.161140E-04,1.163720E-04,9.249200E-05,3.582100E-04,4.635430E-04,1.942970E-04,3.667570E-04,1.299290E-04,3.214520E-04,6.823140E-05,3.141240E-04,-1.794290E-04,-4.265850E-05
910.2507,-8.989260E-05,2.997770E-04,-8.412940E-05,3.273600E-04,3.531320E-04,1.398310E-04,2.486700E-04,1.217020E-04,3.085850E-04,5.807970E-05,2.171070E-04,-1.148300E-05,-2.744860E-04
912.1791,3.749410E-04,5.948190E-04,3.924360E-05,4.700190E-04,5.471820E-04,2.462780E-04,2.814110E-04,4.580880E-04,3.782160E-04,1.570990E-04,3.163930E-04,1.655340E-04,-1.379120E-04
914.1077,5.039090E-04,8.364230E-04,3.514220E-04,6.339440E-04,9.246810E-04,5.729590E-04,4.829020E-04,9.435820E-04,5.702010E-04,4.931230E-04,5.983760E-04,4.351510E-04,4.736980E-05
916.0361,7.293780E-04,9.121660E-04,5.929950E-04,7.549390E-04,1.110000E-03,1.050000E-03,7.553680E-04,9.828110E-04,8.305140E-04,6.780780E-04,8.265220E-04,6.553780E-04,4.159400E-04
917.9647,1.130000E-03,1.170000E-03,7.257010E-04,9.170300E-04,1.130000E-03,1.210000E-03,9.043520E-04,8.496990E-04,1.090000E-03,6.004000E-04,7.775950E-04,7.754950E-04,6.386780E-04
919.8931,1.210000E-03,1.400000E-03,8.924070E-04,1.070000E-03,1.190000E-03,1.170000E-03,1.120000E-03,8.656670E-04,1.190000E-03,6.915410E-04,7.639110E-04,8.388720E-04,6.610280E-04
921.8217,1.220000E-03,1.260000E-03,9.578830E-04,1.040000E-03,1.140000E-03,1.170000E-03,1.040000E-03,9.613890E-04,1.090000E-03,7.815960E-04,7.859740E-04,7.490380E-04,6.221230E-04
923.7501,1.110000E-03,1.010000E-03,8.119760E-04,9.383200E-04,1.020000E-03,9.975550E-04,6.554780E-04,8.605430E-04,9.826790E-04,7.332950E-04,6.497100E-04,6.499860E-04,5.730050E-04
925.6786,8.221010E-04,6.678360E-04,4.828170E-04,7.933070E-04,8.397240E-04,7.634090E-04,5.492750E-04,5.343880E-04,7.892970E-04,3.901130E-04,4.052040E-04,5.981330E-04,4.185670E-04
927.6071,7.347760E-04,5.773680E-04,3.287340E-04,6.414280E-04,6.965850E-04,6.228560E-04,5.555970E-04,3.789480E-04,7.192930E-04,2.757730E-04,2.479590E-04,6.049700E-04,3.245780E-04
929.5356,4.670600E-04,5.548810E-04,2.919370E-04,4.407030E-04,5.146580E-04,3.501710E-04,2.622840E-04,2.082730E-04,6.020150E-04,2.177020E-04,6.809330E-05,3.090460E-04,1.130670E-04
931.4641,1.741980E-04,2.462250E-04,1.744600E-04,4.008180E-04,2.015630E-04,1.410560E-04,1.506230E-04,2.473660E-05,3.250020E-04,-9.792550E-06,-5.249220E-05,1.348830E-04,-6.218660E-05
933.3926,1.942940E-04,5.361560E-05,9.068410E-05,4.420460E-04,2.560660E-04,1.988150E-04,1.815230E-04,5.085070E-05,3.530730E-04,-6.692530E-05,8.472260E-06,2.311100E-04,4.648840E-05
935.3211,4.012640E-04,3.485790E-05,1.898160E-04,3.091750E-04,4.315500E-04,2.742380E-04,2.536260E-04,1.441010E-04,5.680510E-04,-1.243480E-04,9.117670E-05,2.623670E-04,1.178430E-04
937.2496,3.892040E-04,3.550780E-05,2.709160E-04,3.835480E-04,4.400460E-04,3.021330E-04,4.962580E-04,2.670840E-04,5.398000E-04,-1.124180E-05,2.144910E-04,6.003840E-04,1.472220E-04
939.1781,3.469080E-04,2.840790E-05,1.889520E-04,5.261270E-04,3.467710E-04,3.652150E-04,5.717970E-04,4.242490E-04,4.609010E-04,1.862200E-04,1.335460E-04,6.459310E-04,2.127360E-04
941.1066,8.535040E-05,-8.263980E-05,9.497540E-05,1.817800E-04,1.368850E-05,1.379530E-04,4.005140E-04,1.321180E-04,1.699920E-04,6.245770E-05,-1.233000E-04,2.114280E-04,-3.845610E-06
943.0351,-6.707330E-05,-2.161710E-04,1.146340E-04,-1.856180E-04,-5.944720E-05,-1.671240E-04,2.124190E-04,-1.047050E-05,-1.231700E-04,-1.585490E-04,-2.584350E-04,-3.458540E-05,-2.456150E-04
944.9636,-1.349640E-05,-1.337890E-04,1.117270E-04,-1.997810E-04,-1.085330E-05,-7.488140E-05,1.092120E-04,1.997310E-04,-8.637860E-07,-7.893770E-05,-7.658080E-05,2.639150E-05,-1.213250E-04
946.8921,-1.678690E-05,-1.421140E-04,-1.076370E-04,-2.271370E-04,-1.019150E-04,-4.685520E-06,-9.085220E-05,1.738970E-04,9.028190E-05,-1.438790E-04,-2.823560E-04,7.127840E-05,-8.875260E-05
948.8206,5.191960E-05,-1.425920E-04,-9.651330E-06,-1.523260E-04,2.016330E-04,-4.821760E-05,3.167510E-05,7.938730E-05,2.515060E-04,-1.846550E-04,-2.521020E-04,5.991530E-05,-1.133350E-04
950.7491,8.082460E-05,-1.049070E-04,1.113050E-04,1.257910E-05,2.059000E-04,1.215700E-07,1.555430E-04,-4.112710E-06,3.330390E-04,-9.445120E-05,3.584880E-05,3.445220E-05,-2.237760E-05
952.6776,1.044560E-05,3.843060E-05,7.280790E-05,1.305520E-04,-3.060700E-05,6.750200E-05,2.963860E-05,-1.604740E-04,3.782860E-04,-1.970010E-04,-1.386490E-04,-4.235090E-05,8.443240E-05
954.6061,-3.080640E-05,5.509860E-05,2.993070E-05,5.862690E-05,-1.121790E-04,-4.772660E-06,-7.469840E-05,-1.724760E-04,2.924970E-04,-2.814350E-04,-2.283460E-04,-6.865400E-05,5.018640E-05
956.5346,1.024830E-04,3.125000E-04,4.733300E-04,2.878560E-04,1.704070E-04,2.549470E-04,2.075240E-04,1.715460E-04,5.597900E-04,9.754320E-07,1.485260E-04,2.477160E-04,1.340370E-04
958.4631,4.966680E-04,7.656590E-04,1.130000E-03,6.401870E-04,5.690640E-04,7.819790E-04,5.672250E-04,5.313530E-04,1.100000E-03,4.689520E-04,4.310480E-04,6.583720E-04,6.196980E-04
960.3916,1.300000E-03,1.340000E-03,1.620000E-03,1.180000E-03,1.230000E-03,1.370000E-03,1.120000E-03,1.060000E-03,1.540000E-03,1.050000E-03,9.781110E-04,1.250000E-03,1.260000E-03
962.3201,2.350000E-03,2.320000E-03,2.390000E-03,2.020000E-03,2.140000E-03,2.110000E-03,2.010000E-03,1.920000E-03,2.110000E-03,1.920000E-03,1.900000E-03,2.120000E-03,1.940000E-03
964.2486,3.020000E-03,3.270000E-03,3.220000E-03,2.780000E-03,2.930000E-03,2.810000E-03,2.790000E-03,2.760000E-03,2.890000E-03,2.620000E-03,2.520000E-03,2.840000E-03,2.590000E-03
966.1771,3.460000E-03,3.780000E-03,3.850000E-03,3.460000E-03,3.450000E-03,3.500000E-03,3.240000E-03,3.350000E-03,3.570000E-03,3.190000E-03,3.070000E-03,3.410000E-03,3.180000E-03
968.1056,3.550000E-03,3.720000E-03,3.960000E-03,3.720000E-03,3.700000E-03,3.840000E-03,3.570000E-03,3.630000E-03,3.800000E-03,3.530000E-03,3.410000E-03,3.670000E-03,3.560000E-03
970.0341,3.120000E-03,3.370000E-03,3.570000E-03,3.390000E-03,3.370000E-03,3.430000E-03,3.380000E-03,3.400000E-03,3.340000E-03,3.150000E-03,3.120000E-03,3.390000E-03,3.280000E-03
971.9626,2.790000E-03,2.920000E-03,3.120000E-03,2.880000E-03,2.780000E-03,2.800000E-03,2.810000E-03,2.850000E-03,2.840000E-03,2.530000E-03,2.510000E-03,2.700000E-03,2.660000E-03
973.8911,2.980000E-03,2.950000E-03,3.130000E-03,2.820000E-03,2.710000E-03,2.690000E-03,2.630000E-03,2.630000E-03,2.700000E-03,2.470000E-03,2.480000E-03,2.410000E-03,2.370000E-03
975.8196,3.530000E-03,3.610000E-03,3.460000E-03,3.230000E-03,2.970000E-03,3.150000E-03,3.020000E-03,2.890000E-03,2.990000E-03,2.700000E-03,2.740000E-03,2.680000E-03,2.650000E-03
977.748,4.320000E-03,4.500000E-03,4.130000E-03,3.820000E-03,3.610000E-03,3.910000E-03,3.780000E-03,3.450000E-03,3.570000E-03,3.220000E-03,3.250000E-03,3.300000E-03,3.310000E-03
979.6766,4.840000E-03,4.830000E-03,4.670000E-03,4.200000E-03,4.150000E-03,4.230000E-03,4.190000E-03,3.870000E-03,3.860000E-03,3.820000E-03,3.640000E-03,3.820000E-03,3.720000E-03
981.605,4.650000E-03,4.700000E-03,4.580000E-03,4.050000E-03,4.080000E-03,4.000000E-03,4.030000E-03,3.880000E-03,3.900000E-03,3.830000E-03,3.540000E-03,3.960000E-03,3.780000E-03
983.5336,3.800000E-03,3.910000E-03,3.860000E-03,3.440000E-03,3.400000E-03,3.480000E-03,3.460000E-03,3.310000E-03,3.480000E-03,3.260000E-03,3.100000E-03,3.530000E-03,3.290000E-03
985.462,2.980000E-03,3.130000E-03,3.230000E-03,2.960000E-03,2.870000E-03,3.030000E-03,3.000000E-03,2.850000E-03,3.090000E-03,2.780000E-03,2.830000E-03,2.970000E-03,2.720000E-03
987.3906,2.480000E-03,2.580000E-03,2.690000E-03,2.620000E-03,2.520000E-03,2.650000E-03,2.530000E-03,2.460000E-03,2.730000E-03,2.210000E-03,2.550000E-03,2.570000E-03,2.360000E-03
989.319,2.190000E-03,2.130000E-03,2.310000E-03,2.290000E-03,2.190000E-03,2.210000E-03,2.290000E-03,2.120000E-03,2.470000E-03,2.110000E-03,2.270000E-03,2.420000E-03,2.210000E-03
991.2476,1.850000E-03,1.880000E-03,2.240000E-03,2.250000E-03,2.020000E-03,2.080000E-03,2.260000E-03,1.960000E-03,2.500000E-03,2.190000E-03,2.190000E-03,2.410000E-03,2.310000E-03
993.176,1.560000E-03,1.700000E-03,2.220000E-03,2.040000E-03,2.020000E-03,2.160000E-03,2.100000E-03,2.080000E-03,2.490000E-03,2.030000E-03,2.220000E-03,2.380000E-03,2.510000E-03
995.1046,1.630000E-03,1.880000E-03,2.190000E-03,1.900000E-03,2.120000E-03,2.230000E-03,2.180000E-03,2.340000E-03,2.440000E-03,2.040000E-03,2.230000E-03,2.590000E-03,2.450000E-03
997.033,1.830000E-03,2.020000E-03,2.250000E-03,1.980000E-03,2.100000E-03,2.210000E-03,2.310000E-03,2.330000E-03,2.450000E-03,2.110000E-03,2.310000E-03,2.620000E-03,2.280000E-03
998.9615,1.970000E-03,2.110000E-03,2.450000E-03,2.310000E-03,2.170000E-03,2.320000E-03,2.460000E-03,2.240000E-03,2.660000E-03,2.260000E-03,2.470000E-03,2.760000E-03,2.360000E-03
1000.89,1.970000E-03,2.370000E-03,2.640000E-03,2.450000E-03,2.310000E-03,2.600000E-03,2.500000E-03,2.310000E-03,2.820000E-03,2.580000E-03,2.550000E-03,2.960000E-03,2.560000E-03
1002.819,2.120000E-03,2.710000E-03,2.770000E-03,2.620000E-03,2.630000E-03,2.840000E-03,2.610000E-03,2.470000E-03,2.940000E-03,2.850000E-03,2.710000E-03,3.050000E-03,2.870000E-03
1004.747,2.730000E-03,3.130000E-03,3.180000E-03,3.020000E-03,3.120000E-03,3.300000E-03,3.030000E-03,2.840000E-03,3.190000E-03,3.050000E-03,3.060000E-03,3.220000E-03,3.190000E-03
1006.676,3.210000E-03,3.550000E-03,3.790000E-03,3.350000E-03,3.450000E-03,3.880000E-03,3.390000E-03,3.270000E-03,3.430000E-03,3.370000E-03,3.480000E-03,3.540000E-03,3.460000E-03
1008.604,3.700000E-03,4.260000E-03,4.470000E-03,3.900000E-03,3.900000E-03,4.330000E-03,3.800000E-03,3.860000E-03,3.930000E-03,3.930000E-03,4.110000E-03,4.100000E-03,3.920000E-03
1010.533,4.540000E-03,5.010000E-03,5.140000E-03,4.670000E-03,4.620000E-03,4.920000E-03,4.610000E-03,4.770000E-03,4.710000E-03,4.660000E-03,4.880000E-03,4.950000E-03,4.700000E-03
1012.461,5.090000E-03,5.360000E-03,5.800000E-03,5.430000E-03,5.230000E-03,5.460000E-03,5.340000E-03,5.290000E-03,5.310000E-03,5.240000E-03,5.440000E-03,5.650000E-03,5.380000E-03
1014.39,5.200000E-03,5.670000E-03,6.250000E-03,5.870000E-03,5.610000E-03,5.820000E-03,5.690000E-03,5.500000E-03,5.530000E-03,5.550000E-03,5.740000E-03,5.880000E-03,5.750000E-03
1016.318,5.160000E-03,5.840000E-03,6.390000E-03,5.960000E-03,5.870000E-03,6.030000E-03,6.000000E-03,5.840000E-03,5.680000E-03,5.720000E-03,5.890000E-03,6.020000E-03,5.810000E-03
1018.247,5.340000E-03,6.030000E-03,6.480000E-03,6.080000E-03,6.210000E-03,6.310000E-03,6.420000E-03,6.340000E-03,6.150000E-03,6.190000E-03,6.270000E-03,6.430000E-03,6.170000E-03
1020.175,5.600000E-03,6.180000E-03,6.730000E-03,6.450000E-03,6.580000E-03,6.740000E-03,6.700000E-03,6.660000E-03,6.640000E-03,6.570000E-03,6.640000E-03,6.950000E-03,6.720000E-03
1022.104,5.770000E-03,6.310000E-03,7.120000E-03,6.700000E-03,6.700000E-03,7.100000E-03,6.990000E-03,6.950000E-03,6.940000E-03,6.780000E-03,6.920000E-03,7.410000E-03,7.070000E-03
1024.032,6.210000E-03,6.670000E-03,7.450000E-03,7.220000E-03,7.070000E-03,7.480000E-03,7.490000E-03,7.610000E-03,7.540000E-03,7.420000E-03,7.530000E-03,7.860000E-03,7.640000E-03
1025.96,6.970000E-03,7.390000E-03,8.170000E-03,7.930000E-03,8.010000E-03,8.420000E-03,8.410000E-03,8.440000E-03,8.520000E-03,8.390000E-03,8.610000E-03,8.680000E-03,8.480000E-03
1027.889,7.720000E-03,8.330000E-03,8.850000E-03,8.630000E-03,8.830000E-03,9.270000E-03,9.160000E-03,9.030000E-03,9.060000E-03,9.060000E-03,9.310000E-03,9.520000E-03,9.000000E-03
1029.818,8.760000E-03,9.310000E-03,9.440000E-03,9.220000E-03,9.180000E-03,9.610000E-03,9.450000E-03,9.320000E-03,9.310000E-03,9.140000E-03,9.450000E-03,9.650000E-03,9.260000E-03
1031.746,9.890000E-03,1.039000E-02,1.036000E-02,9.730000E-03,9.660000E-03,9.970000E-03,9.760000E-03,9.580000E-03,9.630000E-03,9.440000E-03,9.500000E-03,9.630000E-03,9.470000E-03
1033.674,1.073000E-02,1.116000E-02,1.113000E-02,1.007000E-02,1.017000E-02,1.035000E-02,1.006000E-02,9.780000E-03,9.910000E-03,9.730000E-03,9.720000E-03,9.830000E-03,9.490000E-03
1035.603,1.144000E-02,1.154000E-02,1.155000E-02,1.038000E-02,1.047000E-02,1.068000E-02,1.025000E-02,9.950000E-03,1.017000E-02,9.810000E-03,9.990000E-03,9.880000E-03,9.420000E-03
1037.531,1.194000E-02,1.186000E-02,1.183000E-02,1.058000E-02,1.074000E-02,1.082000E-02,1.035000E-02,1.002000E-02,1.030000E-02,9.950000E-03,1.011000E-02,9.850000E-03,9.490000E-03
1039.46,1.215000E-02,1.222000E-02,1.196000E-02,1.061000E-02,1.072000E-02,1.070000E-02,1.041000E-02,1.009000E-02,1.021000E-02,9.980000E-03,1.000000E-02,9.750000E-03,9.500000E-03
1041.388,1.238000E-02,1.234000E-02,1.216000E-02,1.081000E-02,1.068000E-02,1.081000E-02,1.050000E-02,1.019000E-02,1.010000E-02,1.001000E-02,9.980000E-03,9.760000E-03,9.600000E-03
1043.317,1.295000E-02,1.282000E-02,1.270000E-02,1.131000E-02,1.116000E-02,1.129000E-02,1.080000E-02,1.053000E-02,1.047000E-02,1.033000E-02,1.033000E-02,1.019000E-02,9.960000E-03
1045.245,1.362000E-02,1.360000E-02,1.315000E-02,1.176000E-02,1.170000E-02,1.167000E-02,1.124000E-02,1.097000E-02,1.124000E-02,1.085000E-02,1.076000E-02,1.057000E-02,1.029000E-02
